Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1961","1961","1000 ha","30580","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1961","1961","1000 ha","150","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1961","1961","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1962","1962","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1962","1962","1000 ha","150","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1962","1962","1000 ha","30690","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1963","1963","1000 ha","30730","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1963","1963","1000 ha","150","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1963","1963","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1964","1964","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1964","1964","1000 ha","155","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1964","1964","1000 ha","31200","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1965","1965","1000 ha","32080","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1965","1965","1000 ha","155","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1965","1965","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1966","1966","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1966","1966","1000 ha","155","F","FAO estimate"
