Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","64869558","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","25223","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1961","1961","tonnes","163619978","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1962","1962","tonnes","162455780","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","26831","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","60548008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","62420208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","28006","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1963","1963","tonnes","174812487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1964","1964","tonnes","160937079","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","26393","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","60977008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","60379266","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","30408","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1965","1965","tonnes","183602617","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1966","1966","tonnes","184444880","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","30167","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","61141626","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","65847777","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","31612","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1967","1967","tonnes","208158055","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1968","1968","tonnes","202538423","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1968","1968","hg/ha","32128","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","63042026","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1969","1969","ha","59258754","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1969","1969","hg/ha","34643","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1969","1969","tonnes","205288170","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1970","1970","tonnes","186860751","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1970","1970","hg/ha","31549","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1970","1970","ha","59229150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1971","1971","ha","63782293","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1971","1971","hg/ha","37256","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1971","1971","tonnes","237624461","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1972","1972","tonnes","228117866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1972","1972","hg/ha","39082","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1972","1972","ha","58369291","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1973","1973","ha","64531443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1973","1973","hg/ha","36832","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1973","1973","tonnes","237683006","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1974","1974","tonnes","204617505","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1974","1974","hg/ha","29975","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1974","1974","ha","68262068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1975","1975","ha","72020441","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1975","1975","hg/ha","34613","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1975","1975","tonnes","249283743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1976","1976","tonnes","258200097","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1976","1976","hg/ha","35330","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1976","1976","ha","73082438","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1977","1977","ha","72223053","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1977","1977","hg/ha","36832","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1977","1977","tonnes","266014469","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1717","Cereals, Total","1978","1978","tonnes","276602542","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1978","1978","hg/ha","41098","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1978","1978","ha","67303432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","1717","Cereals, Total","1979","1979","ha","68371362","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","1717","Cereals, Total","1979","1979","hg/ha","44262","Fc","Calculated data"
