Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","5100","Africa","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","tonnes","4377476.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5100","Africa","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","tonnes","1730822.22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5100","Africa","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","tonnes","984306.8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5200","Americas","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","tonnes","25935774.29","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5200","Americas","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","tonnes","15000599","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5200","Americas","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","tonnes","14134715.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","tonnes","65687648.6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","tonnes","25853517.67","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","tonnes","18923833.11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","tonnes","15450218.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","tonnes","4272824.81","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","tonnes","4681276.79","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","tonnes","1840579","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","tonnes","1263481.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","tonnes","433406.9","A","Aggregate, may include official, semi-official, estimated or calculated data"
