Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1961","1961","1000 ha","447509","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1962","1962","1000 ha","443991","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1963","1963","1000 ha","441443","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1964","1964","1000 ha","439012","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1965","1965","1000 ha","435873","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1966","1966","1000 ha","435550","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1967","1967","1000 ha","435307","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1968","1968","1000 ha","435795","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1969","1969","1000 ha","435447","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1970","1970","1000 ha","434400","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1971","1971","1000 ha","433300","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1972","1972","1000 ha","432300","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1973","1973","1000 ha","431200","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1974","1974","1000 ha","430158","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1975","1975","1000 ha","430158","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1976","1976","1000 ha","430158","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1977","1977","1000 ha","430331","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1978","1978","1000 ha","428163","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1979","1979","1000 ha","428163","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1980","1980","1000 ha","428163","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1981","1981","1000 ha","428163","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1982","1982","1000 ha","431399","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1983","1983","1000 ha","431399","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1984","1984","1000 ha","431399","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1985","1985","1000 ha","431399","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1986","1986","1000 ha","431399","Q","Official data reported on FAO Questionnaires from countries"
